Date,Open,High,Close,Low,Volume,Adj Close
2017-12-27,14.58,15.12,14.86,14.58,180999.56,14.86
2017-12-26,14.6,14.88,14.61,14.52,127404.17,14.61
2017-12-25,15.2,15.62,14.7,14.35,367258.53,14.7
2017-12-22,14.86,15.6,15.24,14.65,238293.05,15.24
2017-12-21,14.83,15.18,14.91,14.46,233039.64,14.91
2017-12-20,14.48,15.12,14.82,14.41,313874.88,14.82
2017-12-19,13.93,14.96,14.62,13.81,336833.88,14.62
2017-12-18,14.01,14.35,13.95,13.83,176346.36,13.95
2017-12-15,14,14.44,14.22,13.85,260218.52,14.22
2017-12-14,13.21,14.46,14.24,13.17,385149,14.24
2017-12-13,13.4,13.6,13.3,12.93,187227.72,13.3
2017-12-12,13.23,13.71,13.23,13.18,226154.42,13.23
2017-12-11,12.69,13.43,13.4,12.53,325500.31,13.4
2017-12-8,12.5,12.99,12.7,12.4,242416.88,12.7
2017-12-7,12.79,12.93,12.4,12.4,229462.14,12.4
2017-12-6,12.83,12.96,12.84,12.04,388690.88,12.84
2017-12-5,13.47,13.8,12.74,12.43,499905.91,12.74
2017-12-4,13.54,14.28,13.81,13.54,432943.53,13.81
2017-12-1,13.47,13.87,13.51,13.21,250078.86,13.51
2017-11-30,13.8,13.9,13.62,13.38,340226.44,13.62
2017-11-29,13.66,14.21,13.9,13.36,726236.31,13.9
2017-11-28,11.9,13.1,13.1,11.75,459923.72,13.1
2017-11-27,11.39,12.1,11.91,11.39,305586.41,11.91
2017-11-24,11.44,11.62,11.5,11.32,125569.33,11.5
2017-11-23,11.65,11.87,11.37,11.25,183544.59,11.37
2017-11-22,11.63,11.93,11.69,11.58,204520.16,11.69
2017-11-21,11.76,12,11.75,11.42,262577.59,11.75
2017-11-20,11.65,11.95,11.79,11.1,278816.97,11.79
2017-11-17,11.19,11.94,11.45,11.12,529448.25,11.45
2017-11-16,10.08,11.21,11.21,10.08,555869.12,11.21
2017-11-15,10.22,10.5,10.19,10.17,262867.69,10.19
2017-11-14,10.18,10.49,10.19,10.1,211017.14,10.19
2017-11-13,9.91,10.09,10.07,9.86,168847.91,10.07
2017-11-10,9.9,9.99,9.87,9.86,35594.5,9.87
2017-11-9,9.99,10.02,9.95,9.9,32034.83,9.95
2017-11-8,9.88,10.03,9.98,9.85,80735.82,9.98
2017-11-7,9.95,10.03,9.9,9.83,41405.73,9.9
2017-11-6,9.83,10.01,9.89,9.83,44006.22,9.89
2017-11-3,9.74,9.92,9.89,9.7,54069.68,9.89
2017-11-2,9.82,9.85,9.74,9.7,49818.03,9.74
2017-11-1,9.92,9.93,9.86,9.85,35842.8,9.86
2017-10-31,9.94,9.98,9.91,9.85,25327.11,9.91
2017-10-30,10.01,10.07,9.88,9.86,47363.5,9.88
2017-10-27,10.04,10.09,10.05,10.01,44668.5,10.05
2017-10-26,10.02,10.15,10.06,10.02,51949.5,10.06
2017-10-25,10.1,10.15,10.04,10.03,48398.62,10.04
2017-10-24,10.07,10.16,10.09,10.02,75830.5,10.09
2017-10-23,10.02,10.13,10.09,9.94,61386.46,10.09
2017-10-20,9.85,10.02,10.02,9.85,73524.82,10.02
2017-10-19,9.91,9.97,9.87,9.84,30996.99,9.87
2017-10-18,9.99,10.01,9.97,9.9,34431.56,9.97
2017-10-17,9.8,9.98,9.97,9.8,42363.28,9.97
2017-10-16,9.92,9.95,9.84,9.78,34047.19,9.84
2017-10-13,9.87,9.95,9.9,9.85,27198.91,9.9
2017-10-12,9.9,9.96,9.87,9.82,41112.52,9.87
2017-10-11,9.99,9.99,9.92,9.87,45411.58,9.92
2017-10-10,10,10.04,9.99,9.92,34295.06,9.99
